feature,weight,mean,std,diff_std,ratio
1000pv,0.10691615,4.79E-07,2.20E-06,1.096940593,0.911626397
1000q,1.0691615,0.013493661,0.005759854,0.14641204,6.830039391
1000t,1.0691615,295.3644,8.258991,0.231194077,4.325370324
1000u,1.0691615,-0.51387715,4.727026,0.439005203,2.277877328
1000v,1.0691615,0.05939854,4.443536,0.510246552,1.959836859
1000z,5.345807,984.221,530.5774,0.318418408,3.140521948
100pv,0.02138323,5.19E-06,4.24E-06,0.384892606,2.598127336
100q,0.2138323,2.90E-06,8.67E-07,0.372748344,2.682775165
100t,0.2138323,199.54959,9.050639,0.151913737,6.582683188
100u,0.2138323,4.151509,18.812077,0.17343655,5.765797361
100v,0.2138323,-0.80344594,6.5402913,0.536867212,1.862657988
100z,1.0691615,161997.2,2100.8188,0.081561939,12.26062068
150cc,0.008018712,0.1833218,0.3296205,0.778243058,1.284945608
150pv,0.032074846,2.06E-06,2.99E-06,0.281477167,3.552686034
150q,0.32074848,1.00E-05,5.97E-06,0.534604887,1.870540328
150t,0.32074848,209.37744,5.2529755,0.184893582,5.408516561
150u,0.32074848,9.397847,23.728853,0.164989171,6.061003858
150v,0.32074848,-0.979245,9.956487,0.41992295,2.381389254
150w,0.003207485,-0.005709179,0.09540666,1.248567509,0.800917846
150z,1.6037422,138326.56,2696.7476,0.067185844,14.88408784
200cc,0.010691615,0.20211114,0.3246544,0.864872213,1.156240176
200pv,0.04276646,1.52E-06,2.61E-06,0.351241322,2.847045428
200q,0.4276646,5.00E-05,3.69E-05,0.567164495,1.763156912
200t,0.4276646,220.74052,3.0110474,0.372736388,2.682861216
200u,0.4276646,11.592034,23.961012,0.180458838,5.541429901
200v,0.4276646,-0.3479951,10.551823,0.450962097,2.217481261
200w,0.004276646,-0.011965795,0.15111983,1.212712449,0.824597785
200z,2.138323,120575.53,2835.0266,0.068606032,14.57597783
250cc,0.013364519,0.14761338,0.27885917,0.979581261,1.020844354
250pv,0.053458076,8.77E-07,1.71E-06,0.523376713,1.91066965
250q,0.53458077,0.000155163,0.000123977,0.584111831,1.712000933
250t,0.53458077,230.6797,5.4195104,0.202560154,4.936805087
250u,0.53458077,11.015043,22.106216,0.207917017,4.809611143
250v,0.53458077,0.0697237,9.948739,0.519312777,1.925621792
250w,0.005345807,-0.01597769,0.18824765,1.183109096,0.845230591
250z,2.6729035,106124.664,2675.2078,0.076937873,12.99750002
300cc,0.016037423,0.11139727,0.2512383,1.010632166,0.989479688
300pv,0.06414969,5.27E-07,1.03E-06,0.6902668,1.448715192
300q,0.64149696,0.000345957,0.000285954,0.526172838,1.900516194
300t,0.64149696,239.61441,6.945097,0.14569453,6.863675654
300u,0.64149696,9.692177,19.568535,0.225595189,4.432718649
300v,0.64149696,0.27408487,8.984631,0.559138825,1.788464608
300w,0.006414969,-0.017636783,0.21922946,1.186728412,0.842652784
300z,3.2074845,93818.32,2360.4204,0.086777202,11.523764
400cc,0.02138323,0.0710423,0.20377205,1.042940506,0.958827464
400pv,0.08553292,3.61E-07,4.76E-07,0.92608246,1.07981745
400q,0.8553292,0.001032171,0.000835405,0.468426423,2.134806986
400t,0.8553292,253.98299,7.6918178,0.129398122,7.728087405
400u,0.8553292,7.251262,15.039767,0.248185323,4.029247127
400v,0.8553292,0.39090168,7.355513,0.581465765,1.719791706
400w,0.008553293,-0.01729965,0.26326728,1.212157346,0.824975407
400z,4.276646,73426.31,1784.8429,0.102877157,9.720330816
500cc,0.026729038,0.072784044,0.18305624,1.022934291,0.977579899
500pv,0.10691615,3.51E-07,3.74E-07,0.9190521,1.088077596
500q,1.0691615,0.002181013,0.001629025,0.420054664,2.380642536
500t,1.0691615,264.4428,7.5119696,0.131174202,7.623450199
500u,1.0691615,5.5218196,11.68722,0.274855555,3.638274662
500v,1.0691615,0.35709065,6.3363633,0.577982104,1.730157376
500w,0.010691615,-0.015555472,0.27648273,1.221000073,0.81900077
500z,5.345807,56802.152,1313.1702,0.124397147,8.038769578
50pv,0.010691615,1.93E-05,9.44E-06,0.266181838,3.756830324
50q,0.10691615,2.68E-06,2.03E-07,0.101985712,9.805295032
50t,0.10691615,210.5182,4.4760647,0.361890192,2.763269142
50u,0.10691615,-2.8802185,12.488623,0.229457546,4.358104661
50v,0.10691615,0.20843004,3.3422804,0.955443594,1.046634261
50z,0.53458077,202594.47,1755.0476,0.108420126,9.223379787
600cc,0.032074846,0.05905429,0.16490783,1.026333219,0.974342428
600pv,0.12829939,3.26E-07,3.29E-07,0.888763375,1.125158876
600q,1.2829939,0.00363567,0.002322304,0.379092953,2.637875465
600t,1.2829939,272.34955,7.195919,0.140592821,7.112738723
600u,1.2829939,4.182964,9.342611,0.30607901,3.267130279
600v,1.2829939,0.36352974,5.7031918,0.561940215,1.779548736
600w,0.012829938,-0.013088505,0.28606927,1.238260818,0.807584303
600z,6.414969,42727.766,963.8589,0.155647174,6.424787386
700cc,0.037420653,0.049501587,0.1489304,0.975536218,1.025077267
700pv,0.14968261,3.06E-07,6.13E-07,0.95199486,1.05042584
700q,1.496826,0.005465061,0.003020765,0.363689834,2.74959569
700t,1.496826,279.3025,7.415145,0.137414237,7.277266314
700u,1.496826,3.001498,7.704945,0.342054484,2.923510863
700v,1.496826,0.35778838,5.2623034,0.552486013,1.810000572
700w,0.014968261,-0.010808362,0.2856053,1.227565331,0.814620594
700z,7.48413,30488.701,667.6047,0.215195769,4.646931502
850cc,0.045439363,0.06840226,0.17161575,0.963974983,1.03737132
850pv,0.18175745,3.34E-07,1.20E-06,1.045701952,0.956295432
850q,1.8175745,0.009277036,0.004200923,0.304548791,3.28354612
850t,1.8175745,287.3563,8.051592,0.171021965,5.847202156
850u,1.8175745,0.9545604,6.557328,0.39888594,2.506982323
850v,1.8175745,0.38346526,5.099137,0.557586278,1.793444422
850w,0.018175747,-0.005345804,0.26092142,1.146366526,0.872321354
850z,9.0878725,14626.437,426.44577,0.346857314,2.88302988
925cc,0.049448717,0.07502455,0.16040315,1.062031628,0.941591544
925pv,0.19779487,4.39E-07,1.83E-06,1.094832778,0.913381495
925q,1.9779489,0.011593101,0.00494562,0.235431981,4.247511297
925t,1.9779489,291.01028,8.065165,0.202047114,4.949340683
925u,1.9779489,-0.021000586,6.057335,0.419301484,2.384918821
925v,1.9779489,0.27324185,5.2423863,0.532031176,1.879589101
925w,0.019779488,-0.000389098,0.2060462,1.090199871,0.917262996
925z,9.889744,7570.1313,444.4637,0.352456721,2.837227778
blh,0.2138323,597.7674,421.7917,1.128729722,0.885951686
d2m,0.2138323,290.16684,10.728539,0.135277667,7.392203203
flsr,0.2138323,-8.318312,3.212783,0.105217593,9.504113976
msl,0.2138323,101177.11,720.53314,0.285471849,3.502972367
sst,1.0691615,299.13043,5.5880733,0.016092378,62.14121897
swh,0.2138323,1.537192,0.9213244,0.200963526,4.976027332
t2m,1.0691615,294.61832,9.425696,0.292759764,3.415769934
u10,1.0691615,-0.4515597,4.2328143,0.445048647,2.246945376
v10,1.0691615,0.0394818,3.9598749,0.517131504,1.933744112
ewss,0.2138323,28.650406,623.70917,0.675122709,1.481212211
lgws,0.2138323,4.438188,284.07996,0.67310707,1.485647743
mgws,0.2138323,8.477131,240.03366,0.73995505,1.351433442
nsss,0.2138323,-5.92108,591.45,0.719925923,1.389031799
slhf,0.2138323,-370163.84,341864.62,0.950045446,1.052581225
sshf,0.2138323,-66212.24,157527.78,1.268062921,0.788604401
ssr,0.2138323,663539.1,875441.25,1.431913793,0.698366064
str,0.2138323,-194569.83,100077.42,0.801384481,1.247840486
tp,1.0691615,0.00022799,0.000698172,1.116800897,0.895414754
